url_length,num_dots,num_subdomains,has_at_symbol,has_hyphen,has_ip_address,uses_https,suspicious_keyword_count,is_phishing
58,2,0,0,0,0,1,0,0
38,2,0,0,0,0,1,0,0
54,6,5,0,1,1,0,3,1
42,1,0,0,0,0,0,2,1
52,2,0,0,0,0,1,0,0
29,2,0,0,0,0,1,0,0
126,3,2,0,1,0,0,2,1
48,6,5,0,1,0,1,4,1
20,1,0,0,0,0,1,0,0
33,2,0,0,0,0,1,0,0
34,1,0,0,0,0,1,0,0
85,6,5,1,1,0,0,1,1
99,5,4,0,0,0,0,3,1
28,2,0,0,0,0,1,0,0
39,2,0,0,0,0,1,0,0
34,1,0,0,0,0,1,0,0
91,6,5,0,1,0,0,4,1
28,1,0,0,0,0,1,0,0
119,3,2,0,1,0,0,5,1
39,1,0,0,0,0,1,0,0
21,2,0,0,0,0,1,0,0
127,4,3,0,1,0,1,4,1
30,5,4,0,1,0,0,2,1
85,6,5,1,1,0,0,1,1
28,1,0,0,0,0,1,0,0
25,1,0,0,0,0,1,0,0
27,2,0,0,0,0,1,0,0
91,6,5,0,1,0,0,5,1
28,1,0,0,1,0,1,0,0
54,2,1,0,1,0,0,3,1
18,2,0,0,0,0,1,0,0
91,3,2,1,1,0,0,3,1
15,2,0,0,1,0,1,0,0
123,2,1,1,1,0,0,5,1
41,2,0,0,0,0,1,0,0
73,5,4,0,1,0,0,1,1
36,5,4,0,1,0,0,1,1
23,2,0,0,0,0,1,0,0
76,6,5,0,1,0,0,2,1
50,2,0,0,0,0,1,0,0
59,2,0,0,0,0,1,0,0
41,1,0,0,0,0,1,0,0
36,6,5,0,1,0,0,5,1
77,4,3,1,1,0,0,2,1
57,2,0,0,0,0,1,0,0
55,2,0,0,0,0,1,0,0
28,2,0,0,0,0,1,0,0
129,1,0,0,1,0,1,2,1
119,3,2,0,1,1,0,1,1
131,3,2,1,1,1,0,5,1
21,2,0,0,0,0,1,0,0
77,4,3,1,1,0,0,5,1
125,2,1,1,1,0,1,2,1
30,2,0,0,1,0,1,0,0
99,4,3,0,1,1,0,1,1
46,2,0,0,0,0,1,0,0
33,1,0,0,0,0,1,0,0
80,5,4,0,0,0,0,5,1
57,2,0,0,0,0,1,0,0
60,1,0,0,0,0,1,0,0
100,4,3,0,1,0,1,3,1
49,1,0,0,1,1,1,5,1
33,6,5,0,0,0,0,2,1
49,2,1,0,1,0,1,4,1
101,1,0,0,1,1,0,5,1
57,2,0,0,0,0,1,0,0
79,6,5,0,1,0,1,5,1
16,1,0,0,0,0,1,0,0
23,1,0,0,0,0,1,0,0
62,1,0,0,0,0,1,1,1
76,4,3,0,1,0,0,3,1
56,2,0,0,0,0,1,0,0
72,4,3,1,0,0,0,5,1
94,2,1,1,1,0,0,1,1
120,2,1,0,1,0,0,2,1
135,6,5,1,1,0,0,1,1
40,2,0,0,0,0,1,0,0
30,1,0,0,1,0,0,5,1
101,5,4,0,1,0,0,1,1
47,1,0,0,0,0,0,0,0
59,2,0,0,0,0,1,0,0
141,4,3,0,0,1,0,4,1
16,1,0,0,0,0,1,0,0
59,1,0,0,0,0,1,0,0
54,5,4,1,1,0,1,3,1
42,1,0,0,0,0,1,0,0
45,1,0,0,0,0,1,0,0
27,2,0,0,0,0,1,0,0
18,2,0,0,0,0,1,0,0
146,2,1,0,1,0,0,5,1
105,4,3,1,1,1,0,5,1
40,3,2,0,1,0,0,5,1
44,1,0,0,0,0,1,0,0
39,1,0,0,0,0,1,0,0
90,6,5,0,1,1,0,3,1
49,1,0,0,0,0,1,0,0
106,6,5,1,1,0,1,4,1
86,1,0,0,1,0,0,1,1
128,3,2,1,1,0,0,4,1
30,1,0,0,1,0,1,0,0
94,6,5,0,1,0,0,1,1
146,4,3,1,1,0,0,4,1
135,2,1,1,1,0,1,5,1
146,3,2,0,0,0,1,2,1
91,5,4,1,1,1,1,2,1
32,6,5,0,1,0,0,4,1
49,1,0,1,1,0,0,4,1
45,1,0,0,0,0,1,0,0
115,2,1,1,1,1,0,3,1
41,1,0,0,0,0,1,0,0
101,1,0,0,1,1,0,1,1
54,1,0,0,0,0,1,0,0
32,3,2,1,1,0,0,2,1
88,1,0,1,1,0,0,2,1
135,5,4,1,1,0,1,5,1
42,1,0,0,0,0,1,0,0
131,5,4,0,1,0,0,2,1
27,1,0,0,0,0,1,0,0
130,6,5,0,1,0,1,5,1
26,6,5,0,1,0,0,1,1
149,1,0,0,1,0,0,5,1
21,1,0,0,0,0,1,0,0
53,2,0,0,0,0,1,0,0
57,1,0,0,0,0,1,0,0
80,2,1,0,1,0,0,3,1
141,6,5,0,1,0,0,1,1
24,2,0,0,0,0,1,0,0
54,1,0,0,0,0,1,0,0
63,2,1,0,1,0,0,5,1
36,4,3,1,1,0,1,5,1
24,1,0,0,0,0,1,0,0
76,2,1,0,1,0,0,5,1
28,1,0,0,0,0,1,0,0
52,2,1,0,0,0,1,1,1
16,1,0,0,0,0,1,0,0
79,5,4,1,1,0,0,3,1
81,4,3,1,1,0,0,2,1
22,1,0,0,0,0,0,0,0
25,1,0,0,0,0,1,0,0
54,2,0,0,0,0,1,0,0
72,3,2,0,1,0,0,3,1
66,5,4,0,1,0,1,2,1
145,6,5,1,1,0,0,5,1
105,4,3,0,1,0,0,5,1
56,2,0,0,0,0,1,0,0
66,2,1,0,1,0,0,2,1
119,2,1,0,1,0,1,4,1
34,2,0,0,0,0,1,0,0
37,3,2,1,1,0,0,1,1
39,2,0,0,0,0,1,0,0
136,3,2,0,1,0,0,2,1
135,2,1,1,1,0,0,3,1
54,5,4,0,1,0,0,5,1
33,2,0,0,0,0,1,0,0
123,4,3,1,1,1,0,3,1
58,1,0,0,0,0,1,0,0
29,2,0,0,0,0,1,0,0
49,2,0,0,0,0,1,0,0
46,2,0,0,0,0,1,0,0
50,1,0,0,0,0,1,0,0
54,2,0,0,0,0,1,0,0
131,6,5,1,1,0,0,1,1
137,5,4,0,1,0,0,2,1
44,5,4,0,1,0,0,1,1
19,1,0,0,0,0,1,0,0
78,5,4,1,1,0,0,5,1
101,3,2,0,0,0,0,2,1
130,3,2,0,1,1,0,3,1
88,4,3,0,1,0,0,3,1
21,1,0,0,0,0,1,0,0
80,2,1,1,1,0,0,3,1
24,2,0,0,0,0,1,0,0
21,2,0,0,0,0,1,0,0
38,6,5,0,1,0,0,2,1
48,2,0,0,0,0,1,0,0
96,2,1,1,1,1,0,4,1
35,4,3,1,1,0,0,4,1
53,2,0,0,0,0,1,0,0
26,1,0,0,0,0,1,0,0
33,3,2,1,1,0,1,2,1
146,4,3,0,1,0,0,3,1
77,1,0,0,1,0,0,3,1
47,2,0,0,0,0,1,0,0
30,2,0,0,0,0,1,0,0
54,1,0,0,0,0,1,0,0
45,1,0,0,1,0,0,4,1
147,5,4,1,1,0,0,2,1
77,4,3,1,1,0,0,2,1
21,1,0,0,0,0,1,0,0
84,6,5,0,0,0,0,1,1
25,5,4,0,1,0,0,4,1
75,2,1,0,0,0,0,3,1
48,2,0,0,0,0,1,0,0
49,2,0,0,0,0,1,0,0
36,3,2,0,1,0,0,3,1
125,6,5,0,1,1,0,3,1
44,2,0,0,0,0,1,0,0
36,2,1,1,0,0,0,3,1
105,5,4,0,0,0,0,2,1
133,2,1,1,0,0,0,5,1
28,2,0,0,0,0,1,0,0
35,1,0,0,0,0,1,0,0
114,1,0,0,1,0,0,1,1
86,3,2,0,1,0,0,4,1
123,5,4,0,1,0,0,5,1
41,2,0,0,1,0,1,0,0
44,1,0,0,0,0,1,0,0
24,2,0,0,1,0,1,0,0
50,1,0,0,0,0,1,0,0
54,2,0,0,0,0,1,0,0
127,1,0,0,1,0,0,5,1
40,2,0,0,0,0,1,0,0
105,3,2,1,1,1,0,2,1
34,2,0,0,0,0,1,0,0
51,1,0,0,0,0,1,0,0
34,1,0,0,0,0,1,0,0
41,2,0,0,0,0,1,0,0
58,2,0,0,0,0,1,0,0
16,2,0,0,0,0,1,0,0
122,6,5,1,1,0,1,1,1
15,1,0,0,0,0,1,0,0
35,1,0,0,0,0,1,0,0
40,4,3,0,1,0,1,3,1
25,1,0,0,0,0,1,0,0
53,1,0,0,1,0,1,0,0
16,2,0,0,0,0,1,0,0
118,1,0,0,1,1,0,2,1
27,1,0,0,1,0,1,0,0
18,2,0,0,0,0,0,0,0
98,2,1,0,1,0,0,1,1
55,6,5,1,1,0,0,2,1
47,1,0,0,0,0,1,0,0
77,3,2,1,1,0,0,1,1
63,2,1,1,1,1,0,4,1
87,5,4,0,1,0,1,4,1
58,1,0,0,0,0,0,0,0
101,6,5,0,1,0,0,2,1
32,1,0,0,0,0,1,0,0
41,2,0,0,0,0,0,0,0
123,4,3,0,1,1,0,1,1
75,4,3,0,1,1,0,1,1
44,1,0,0,0,0,1,0,0
83,1,0,0,1,1,0,2,1
117,6,5,1,1,0,0,1,1
39,2,0,0,0,0,1,0,0
59,1,0,0,0,0,1,0,0
122,3,2,0,1,1,0,1,1
116,5,4,0,1,0,0,2,1
17,2,0,0,0,0,0,0,0
57,2,0,0,0,0,1,0,0
116,1,0,0,1,0,0,3,1
19,1,0,0,0,0,1,0,0
47,1,0,1,1,0,1,2,1
52,1,0,0,0,0,1,0,0
117,6,5,1,1,0,0,1,1
33,1,0,0,0,0,1,0,0
46,1,0,0,0,0,0,0,0
34,2,1,0,1,1,0,1,1
20,2,0,0,0,0,1,0,0
